==26498== NVPROF is profiling process 26498, command: ./CUPTI_sender 0 1 10000 1000
==26498== Profiling application: ./CUPTI_sender 0 1 10000 1000
==26498== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Src Dev","Src Ctx","Dst Dev","Dst Ctx","Name","Correlation_ID"
s,us,,,,,,,,B,B,KB,GB/s,,,,,,,,,,,
3.848464,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1044
3.849607,3.136000,,,,,,,,,,39.062500,11.879114,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1047
3.850758,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1050
3.851909,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1053
3.853049,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1056
3.854202,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1059
3.855347,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1062
3.856489,3.168000,,,,,,,,,,39.062500,11.759123,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1065
3.857612,3.072000,,,,,,,,,,39.062500,12.126596,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1068
3.858761,3.136000,,,,,,,,,,39.062500,11.879114,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1071
3.859948,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1074
3.861102,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1077
3.862253,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1080
3.863413,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1083
3.864555,3.136000,,,,,,,,,,39.062500,11.879114,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1086
3.865694,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1089
3.866832,3.072000,,,,,,,,,,39.062500,12.126596,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1092
3.867979,3.072000,,,,,,,,,,39.062500,12.126596,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1095
3.869119,3.520000,,,,,,,,,,39.062500,10.583211,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1098
3.870272,3.072000,,,,,,,,,,39.062500,12.126596,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1101
3.871424,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1104
3.872563,3.072000,,,,,,,,,,39.062500,12.126596,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1107
3.873714,3.072000,,,,,,,,,,39.062500,12.126596,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1110
3.874854,3.104000,,,,,,,,,,39.062500,12.001580,"Device","Device","Tesla V100-SXM2-16GB (1)","2","26","Tesla V100-SXM2-16GB (1)","2","Tesla V100-SXM2-16GB (0)","1","[CUDA memcpy PtoP]",1113
