==287810== NVPROF is profiling process 287810, command: ./CUPTI_sender 0 1 102400000 10
Current TSC: 581317798038136
2.406594,5.629994,,,,,,,,,,390.625000,67.756684,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",328
2.412415,5.629994,,,,,,,,,,390.625000,67.756684,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",332
2.418233,5.630443,,,,,,,,,,390.625000,67.751281,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",336
2.423894,5.629930,,,,,,,,,,390.625000,67.757455,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",338
2.429864,5.629899,,,,,,,,,,390.625000,67.757828,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",344
2.435620,5.630186,,,,,,,,,,390.625000,67.754374,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",347
2.441451,5.629898,,,,,,,,,,390.625000,67.757840,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",350
2.447220,5.629962,,,,,,,,,,390.625000,67.757070,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",353
2.452982,5.629930,,,,,,,,,,390.625000,67.757455,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",356
2.458655,5.629930,,,,,,,,,,390.625000,67.757455,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",358
2.464354,5.630058,,,,,,,,,,390.625000,67.755914,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",360
2.470018,5.629930,,,,,,,,,,390.625000,67.757455,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",362
2.475678,5.629898,,,,,,,,,,390.625000,67.757840,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",364
2.481478,5.630090,,,,,,,,,,390.625000,67.755529,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",367
2.487275,5.629898,,,,,,,,,,390.625000,67.757840,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",370
2.492943,5.630058,,,,,,,,,,390.625000,67.755914,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",372
2.498608,5.629963,,,,,,,,,,390.625000,67.757057,"Device","Device","Tesla V100-SXM2-16GB (1)","3","29","Tesla V100-SXM2-16GB (1)","3","Tesla V100-SXM2-16GB (0)","2","[CUDA memcpy PtoP]",374
2.504281,87.201423,,,,,,,,,,390.625000,4.374581,"Device","Pageable","Tesla V100-SXM2-16GB (1)","3","29",,,,,"[CUDA memcpy DtoH]",376
2.591838,86.970124,,,,,,,,,,390.625000,4.386216,"Device","Pageable","Tesla V100-SXM2-16GB (0)","2","16",,,,,"[CUDA memcpy DtoH]",377
